Dataset,RMSE,MAPE,MAE
Main_Models,2.266143423,0.616943323,1.755139379
Main_Models,1.7622422,0.342612548,0.973553536
Main_Models,1.69242779,0.330009407,0.940706186
Main_Models,2.026398623,0.531351246,1.504090602
Main_Models,1.848201155,0.392545936,1.122863954
Main_Models,1.6930557,0.34548991,0.983762342
Main_Models,2.405615674,0.639949197,1.815473847
Main_Models,2.530714323,0.715662001,2.016890989
Main_Models,1.699030646,0.362008759,1.025991168
Main_Models,2.318820158,0.637401903,1.809805805
Main_Models,0.709703124,0.158852493,0.466841982
Main_Models,1.294194795,0.297737869,0.875094148
Main_Models,1.05100567,0.328294378,0.951139879
Main_Models,0.832006531,0.203600619,0.595317722
Main_Models,1.133497861,0.344782951,0.99711739
Main_Models,1.056272541,0.316205008,0.918928926
Main_Models,0.771557711,0.158727053,0.468887963
Main_Models,1.019016385,0.258165491,0.757758216
Main_Models,1.073806995,0.313104592,0.911250099
Main_Models,0.871079797,0.186084874,0.547947332
Main_Models,3.18120022,0.808550349,2.333143713
Main_Models,3.202297143,0.865126068,2.474323892
Main_Models,3.035499091,0.844400939,2.412525607
Main_Models,3.008076773,0.829434715,2.384621471
Main_Models,3.447721328,0.935970705,2.669113033
Main_Models,3.673772574,1.093178398,3.115029529
Main_Models,3.382944658,0.906299994,2.592546254
Main_Models,3.666823167,1.046766378,2.978804437
Main_Models,3.443382609,0.911999292,2.605994902
Main_Models,3.612373837,1.072076666,3.058889503
Main_Models,4.543474242,1.021260076,2.957591918
Main_Models,3.740641665,0.779738299,2.265109144
Main_Models,4.321708606,0.954283356,2.782361431
Main_Models,4.386035357,1.00342624,2.915494652
Main_Models,3.799404948,0.776770606,2.244755336
Main_Models,4.015974241,0.846686364,2.449779467
Main_Models,3.64866079,0.747300435,2.166320925
Main_Models,4.296875064,0.910338847,2.638312397
Main_Models,3.674856408,0.820108843,2.385283227
Main_Models,4.281667026,0.986657232,2.873074424
Main_Models,3.378941607,0.957300942,2.814141923
Main_Models,3.399974988,0.952423288,2.829189424
Main_Models,3.425182651,0.984344914,2.893016955
Main_Models,3.513809909,0.956346087,2.779903042
Main_Models,3.271973394,0.946865925,2.789954194
Main_Models,3.568231696,1.041219497,3.074366594
Main_Models,3.46496837,0.981032946,2.905655359
Main_Models,3.44517609,0.947444662,2.76214316
Main_Models,3.682782345,1.04841043,3.050130647
Main_Models,3.474230007,0.974858717,2.851486699
Main_Models,1.237951948,0.312495539,0.86077374
Main_Models,1.16583986,0.287695567,0.791165675
Main_Models,1.417444332,0.377767996,1.042573814
Main_Models,1.1476269,0.28181599,0.778412571
Main_Models,1.168493202,0.284850906,0.785209702
Main_Models,1.05661289,0.276760001,0.770354494
Main_Models,1.095276225,0.281024843,0.772430588
Main_Models,1.374365776,0.374684047,1.027826178
Main_Models,1.167320242,0.289656984,0.805508614
Main_Models,1.059489783,0.267360611,0.741880068
Main_Models,1.079479176,0.352054358,0.970493843
Main_Models,1.213842708,0.365873405,1.007421605
Main_Models,1.212118021,0.354456704,0.976171729
Main_Models,1.100826035,0.363037755,1.001520694
Main_Models,1.045528946,0.354487235,0.975990143
Main_Models,1.014182094,0.356130864,0.980478528
Main_Models,1.237519472,0.356912821,0.982337397
Main_Models,1.019697898,0.357290005,0.9834177
Main_Models,1.17187823,0.358352442,0.987208122
Main_Models,1.16162105,0.356432807,0.982568002
Main_Models,1.093530252,0.273162155,0.834970766
Main_Models,1.90329226,0.529997625,1.628531338
Main_Models,1.105791223,0.277047952,0.846665603
Main_Models,1.250507638,0.341830941,1.041649136
Main_Models,1.461723999,0.37763275,1.158489629
Main_Models,1.57611129,0.419626051,1.288831646
Main_Models,1.23307849,0.287110178,0.879293802
Main_Models,1.143192323,0.299196769,0.911989406
Main_Models,1.072784421,0.276324157,0.843432223
Main_Models,1.317523602,0.338550828,1.038216766
Main_Models,0.811727445,0.281572234,0.572500647
Main_Models,1.053267039,0.425911239,0.856243471
Main_Models,0.87719302,0.32774196,0.642250219
Main_Models,0.846846544,0.293123316,0.603810194
Main_Models,1.089797689,0.441370853,0.894352357
Main_Models,0.688353702,0.211931903,0.414413191
Main_Models,1.010783053,0.408794893,0.81831455
Main_Models,0.80325128,0.266182603,0.537420527
Main_Models,0.719477115,0.226153674,0.458152689
Main_Models,0.693624846,0.203213787,0.398428271
Main_Models,1.336018333,0.557461304,1.084371787
Main_Models,1.320924586,0.548350335,1.067911621
Main_Models,1.502167813,0.643158862,1.230166703
Main_Models,1.494718944,0.649262418,1.251649707
Main_Models,1.331059798,0.553572913,1.075689084
Main_Models,1.186075182,0.469044187,0.919587638
Main_Models,1.087038824,0.407273168,0.814088731
Main_Models,1.140347829,0.442429452,0.879097468
Main_Models,1.253082459,0.500036627,0.966032317
Main_Models,1.429451936,0.606909932,1.166126018
Main_Models,0.880609998,0.269606601,0.525216512
Main_Models,0.978558935,0.3495603,0.69322333
Main_Models,0.856743633,0.248689978,0.496530986
Main_Models,1.032944024,0.398374454,0.785727021
Main_Models,0.902666107,0.304335625,0.595856839
Main_Models,0.973486564,0.346003074,0.684668366
Main_Models,0.854198642,0.267498512,0.525972647
Main_Models,1.311145564,0.556329466,1.092072514
Main_Models,1.036744104,0.384627102,0.755784841
Main_Models,0.820967367,0.245447712,0.477929525
Fixed,4.845313714,3.4955422,3.746521999
Fixed,4.348784671,3.419727233,3.415908667
Fixed,5.331846095,3.567004513,3.962475923
Fixed,3.920516419,2.732883804,3.285179118
Fixed,4.465811856,2.725808159,3.368414964
Fixed,3.705676174,2.462448184,2.887398595
Fixed,4.458746488,3.015492494,3.561518347
Fixed,3.84610908,2.546188768,2.942521217
Fixed,3.588705842,2.312957167,2.876113219
Fixed,4.263329251,3.297296092,3.220548314
Random,4.903170147,2.645173375,3.629308565
Random,5.581557862,2.971374147,4.135706941
Random,5.774047075,2.878102494,3.97783822
Random,5.415973209,2.750616347,3.747182025
Random,6.142077406,3.035083229,4.13814845
Random,6.018176616,2.964853182,4.131409316
Random,4.972050491,2.578690562,3.576114434
Random,5.612177064,2.857938332,3.886593652
Random,5.441217914,2.661482552,3.634466953
Random,5.364934136,2.720497432,3.717076315
