Model,Group,Type,MAPE
Base,NCACY45-05_1,Current,0.616943323
Base,NCACY45-05_1,Current,0.342612548
Base,NCACY45-05_1,Current,0.330009407
Base,NCACY45-05_1,Current,0.531351246
Base,NCACY45-05_1,Current,0.392545936
Base,NCACY45-05_1,Current,0.34548991
Base,NCACY45-05_1,Current,0.639949197
Base,NCACY45-05_1,Current,0.715662001
Base,NCACY45-05_1,Current,0.362008759
Base,NCACY45-05_1,Current,0.637401903
Base,NCACY35-05_1,Current,0.158852493
Base,NCACY35-05_1,Current,0.297737869
Base,NCACY35-05_1,Current,0.328294378
Base,NCACY35-05_1,Current,0.203600619
Base,NCACY35-05_1,Current,0.344782951
Base,NCACY35-05_1,Current,0.316205008
Base,NCACY35-05_1,Current,0.158727053
Base,NCACY35-05_1,Current,0.258165491
Base,NCACY35-05_1,Current,0.313104592
Base,NCACY35-05_1,Current,0.186084874
Base,NCACY25-025_1,Current,0.808550349
Base,NCACY25-025_1,Current,0.865126068
Base,NCACY25-025_1,Current,0.844400939
Base,NCACY25-025_1,Current,0.829434715
Base,NCACY25-025_1,Current,0.935970705
Base,NCACY25-025_1,Current,1.093178398
Base,NCACY25-025_1,Current,0.906299994
Base,NCACY25-025_1,Current,1.046766378
Base,NCACY25-025_1,Current,0.911999292
Base,NCACY25-025_1,Current,1.072076666
Base,NCACY25-05_1,Current,1.021260076
Base,NCACY25-05_1,Current,0.779738299
Base,NCACY25-05_1,Current,0.954283356
Base,NCACY25-05_1,Current,1.00342624
Base,NCACY25-05_1,Current,0.776770606
Base,NCACY25-05_1,Current,0.846686364
Base,NCACY25-05_1,Current,0.747300435
Base,NCACY25-05_1,Current,0.910338847
Base,NCACY25-05_1,Current,0.820108843
Base,NCACY25-05_1,Current,0.986657232
Base,NCACY25-1_1,Current,0.957300942
Base,NCACY25-1_1,Current,0.952423288
Base,NCACY25-1_1,Current,0.984344914
Base,NCACY25-1_1,Current,0.956346087
Base,NCACY25-1_1,Current,0.946865925
Base,NCACY25-1_1,Current,1.041219497
Base,NCACY25-1_1,Current,0.981032946
Base,NCACY25-1_1,Current,0.947444662
Base,NCACY25-1_1,Current,1.04841043
Base,NCACY25-1_1,Current,0.974858717
Base,NCMCY45-05_1,Current,0.312495539
Base,NCMCY45-05_1,Current,0.287695567
Base,NCMCY45-05_1,Current,0.377767996
Base,NCMCY45-05_1,Current,0.28181599
Base,NCMCY45-05_1,Current,0.284850906
Base,NCMCY45-05_1,Current,0.276760001
Base,NCMCY45-05_1,Current,0.281024843
Base,NCMCY45-05_1,Current,0.374684047
Base,NCMCY45-05_1,Current,0.289656984
Base,NCMCY45-05_1,Current,0.267360611
Base,NCMCY35-05_1,Current,0.352054358
Base,NCMCY35-05_1,Current,0.365873405
Base,NCMCY35-05_1,Current,0.354456704
Base,NCMCY35-05_1,Current,0.363037755
Base,NCMCY35-05_1,Current,0.354487235
Base,NCMCY35-05_1,Current,0.356130864
Base,NCMCY35-05_1,Current,0.356912821
Base,NCMCY35-05_1,Current,0.357290005
Base,NCMCY35-05_1,Current,0.358352442
Base,NCMCY35-05_1,Current,0.356432807
Base,NCMCY25-05_1,Current,0.273162155
Base,NCMCY25-05_1,Current,0.529997625
Base,NCMCY25-05_1,Current,0.277047952
Base,NCMCY25-05_1,Current,0.341830941
Base,NCMCY25-05_1,Current,0.37763275
Base,NCMCY25-05_1,Current,0.419626051
Base,NCMCY25-05_1,Current,0.287110178
Base,NCMCY25-05_1,Current,0.299196769
Base,NCMCY25-05_1,Current,0.276324157
Base,NCMCY25-05_1,Current,0.338550828
Base,NCMNCACY25-05_1,Current,0.281572234
Base,NCMNCACY25-05_1,Current,0.425911239
Base,NCMNCACY25-05_1,Current,0.32774196
Base,NCMNCACY25-05_1,Current,0.293123316
Base,NCMNCACY25-05_1,Current,0.441370853
Base,NCMNCACY25-05_1,Current,0.211931903
Base,NCMNCACY25-05_1,Current,0.408794893
Base,NCMNCACY25-05_1,Current,0.266182603
Base,NCMNCACY25-05_1,Current,0.226153674
Base,NCMNCACY25-05_1,Current,0.203213787
Base,NCMNCACY25-05_2,Current,0.557461304
Base,NCMNCACY25-05_2,Current,0.548350335
Base,NCMNCACY25-05_2,Current,0.643158862
Base,NCMNCACY25-05_2,Current,0.649262418
Base,NCMNCACY25-05_2,Current,0.553572913
Base,NCMNCACY25-05_2,Current,0.469044187
Base,NCMNCACY25-05_2,Current,0.407273168
Base,NCMNCACY25-05_2,Current,0.442429452
Base,NCMNCACY25-05_2,Current,0.500036627
Base,NCMNCACY25-05_2,Current,0.606909932
Base,NCMNCACY25-05_4,Current,0.269606601
Base,NCMNCACY25-05_4,Current,0.3495603
Base,NCMNCACY25-05_4,Current,0.248689978
Base,NCMNCACY25-05_4,Current,0.398374454
Base,NCMNCACY25-05_4,Current,0.304335625
Base,NCMNCACY25-05_4,Current,0.346003074
Base,NCMNCACY25-05_4,Current,0.267498512
Base,NCMNCACY25-05_4,Current,0.556329466
Base,NCMNCACY25-05_4,Current,0.384627102
Base,NCMNCACY25-05_4,Current,0.245447712
SOC30,NCACY45-05_1,Current,0.595635791
SOC30,NCACY45-05_1,Current,0.609528614
SOC30,NCACY45-05_1,Current,0.493953399
SOC30,NCACY45-05_1,Current,0.751514877
SOC30,NCACY45-05_1,Current,0.951436555
SOC30,NCACY45-05_1,Current,1.022086964
SOC30,NCACY45-05_1,Current,0.451799791
SOC30,NCACY45-05_1,Current,0.933536428
SOC30,NCACY45-05_1,Current,0.50369307
SOC30,NCACY45-05_1,Current,0.550096244
SOC30,NCACY35-05_1,Current,0.805599397
SOC30,NCACY35-05_1,Current,1.480139524
SOC30,NCACY35-05_1,Current,0.514660958
SOC30,NCACY35-05_1,Current,1.152331775
SOC30,NCACY35-05_1,Current,0.521393083
SOC30,NCACY35-05_1,Current,0.908773929
SOC30,NCACY35-05_1,Current,0.628084751
SOC30,NCACY35-05_1,Current,0.458252475
SOC30,NCACY35-05_1,Current,0.574609807
SOC30,NCACY35-05_1,Current,0.595622218
SOC30,NCACY25-025_1,Current,1.89639204
SOC30,NCACY25-025_1,Current,1.555441547
SOC30,NCACY25-025_1,Current,3.148189414
SOC30,NCACY25-025_1,Current,1.842216974
SOC30,NCACY25-025_1,Current,1.793757594
SOC30,NCACY25-025_1,Current,1.571225503
SOC30,NCACY25-025_1,Current,1.590813771
SOC30,NCACY25-025_1,Current,2.128830793
SOC30,NCACY25-025_1,Current,1.526128245
SOC30,NCACY25-025_1,Current,2.173500334
SOC30,NCACY25-05_1,Current,1.237337304
SOC30,NCACY25-05_1,Current,1.38068589
SOC30,NCACY25-05_1,Current,1.284599447
SOC30,NCACY25-05_1,Current,1.145594037
SOC30,NCACY25-05_1,Current,1.288121447
SOC30,NCACY25-05_1,Current,1.269095574
SOC30,NCACY25-05_1,Current,1.298524252
SOC30,NCACY25-05_1,Current,1.175612194
SOC30,NCACY25-05_1,Current,1.377255083
SOC30,NCACY25-05_1,Current,1.402910191
SOC30,NCACY25-1_1,Current,1.035983436
SOC30,NCACY25-1_1,Current,1.011022277
SOC30,NCACY25-1_1,Current,0.962333906
SOC30,NCACY25-1_1,Current,1.075819027
